iter	RMSE
0	0.7563652485
1	0.7551395308
2	0.7539379177
3	0.7527905206
4	0.7516441264
5	0.7504589551
6	0.7493570753
7	0.7481643619
8	0.7469142175
9	0.745801767
10	0.7448026148
11	0.7437166899
12	0.7426834305
13	0.7420853957
14	0.7410042412
15	0.7399093301
16	0.73887779
17	0.7379142844
18	0.7369600285
19	0.7358208799
20	0.7343572596
21	0.7329440812
22	0.7316667334
23	0.7306130192
24	0.7292665783
25	0.728103483
26	0.7271443115
27	0.726160524
28	0.7251487107
29	0.7240741816
30	0.723026873
31	0.7220157433
32	0.7210719453
33	0.7201021264
34	0.7192299813
35	0.7182112981
36	0.7172466668
37	0.7163502347
38	0.7152048044
39	0.714115514
40	0.7129687204
41	0.7120185772
42	0.710951527
43	0.7098304366
44	0.7089839784
45	0.7081020069
46	0.7071145517
47	0.7061052984
48	0.7050477931
49	0.7043147683
50	0.7032443109
51	0.7026612848
52	0.7018670566
53	0.7009034518
54	0.7000235653
55	0.6990585073
56	0.6983458086
57	0.6974046211
58	0.6964550769
59	0.6959020351
60	0.6951486326
61	0.694469462
62	0.6936176902
63	0.6927206638
64	0.6920739378
65	0.691217313
66	0.6904682486
67	0.6896176068
68	0.6889978726
69	0.6882685591
70	0.6876664273
71	0.6870120026
72	0.6863226603
73	0.6857788523
74	0.6851376502
75	0.6846040956
76	0.6838917063
77	0.6833192441
78	0.6826221908
79	0.6820901615
80	0.6815425555
81	0.6808709062
82	0.6803439318
83	0.6795895341
84	0.6790752492
85	0.6784618459
86	0.6778907199
87	0.6772319647
88	0.6765516582
89	0.6759910962
90	0.6755275692
91	0.6749006371
92	0.6742343244
93	0.673849293
94	0.6731375872
95	0.672617916
96	0.6721249522
97	0.6715842462
98	0.6710882742
99	0.6704293774
100	0.6699162845
101	0.6695650428
102	0.669091516
103	0.6686326987
104	0.668065148
105	0.6677085356
106	0.6671852697
107	0.666774837
108	0.6660574407
109	0.6655300265
110	0.6649974016
111	0.6644971787
112	0.6640747772
113	0.6635678264
114	0.6631058075
115	0.6624999696
116	0.6618748392
117	0.6613289335
118	0.6607861394
119	0.6603280258
120	0.6598269509
121	0.6592752182
122	0.658748952
123	0.6582472422
124	0.6577882263
125	0.6573644468
126	0.6569701543
127	0.656527903
128	0.6559989367
129	0.6555686857
130	0.6551318898
131	0.6547115295
132	0.6543466932
133	0.6538338612
134	0.653459946
