Date,Name,Year,Letterboxd URI
2021-11-01,L.A. Confidential,1997,https://boxd.it/27oC
2021-11-01,True Romance,1993,https://boxd.it/2aBa
2021-11-01,Strange Days,1995,https://boxd.it/2aGO
2021-11-01,Amadeus,1984,https://boxd.it/2aH8
2021-11-01,The Turin Horse,2011,https://boxd.it/2Qsk
2021-11-01,Holy Motors,2012,https://boxd.it/3wai
2021-11-01,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2021-11-01,Leviathan,2014,https://boxd.it/7Ub8
2021-11-01,The Bad Batch,2016,https://boxd.it/acEG
2021-11-01,Son of Saul,2015,https://boxd.it/b6r4
2021-11-01,Cold War,2018,https://boxd.it/fEoc
2021-11-01,First Reformed,2017,https://boxd.it/go9C
2021-11-01,Burning,2018,https://boxd.it/hHUa
2021-11-01,L'Argent,1983,https://boxd.it/XIg
2021-11-01,Planet of the Vampires,1965,https://boxd.it/1HQg
2021-11-01,Things to Come,1936,https://boxd.it/258i
2021-11-01,Training Day,2001,https://boxd.it/27A4
2021-11-01,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW
2021-11-01,Little Miss Sunshine,2006,https://boxd.it/29EW
2021-11-01,Rampage,1987,https://boxd.it/3q6u
2021-11-01,Loveless,2017,https://boxd.it/fcFa
2021-11-01,Malignant,2021,https://boxd.it/mViE
2021-11-05,Rubber,2010,https://boxd.it/P2m
2021-11-05,A Tale of Two Sisters,2003,https://boxd.it/248m
2021-11-05,I Saw the Devil,2010,https://boxd.it/FaK
2021-11-09,Onibaba,1964,https://boxd.it/252a
2021-11-12,Paddington,2014,https://boxd.it/3RKw
2021-11-12,Paddington 2,2017,https://boxd.it/bCF8
2021-11-23,Down by Law,1986,https://boxd.it/28CA
2021-11-26,Frances Ha,2012,https://boxd.it/41Xg
2021-12-01,A Page of Madness,1926,https://boxd.it/3i2u
2021-12-01,Tux and Fanny,2019,https://boxd.it/m0ds
2021-12-02,Spencer,2021,https://boxd.it/qPMG
2021-12-03,Do the Right Thing,1989,https://boxd.it/29gA
2021-12-19,Ran,1985,https://boxd.it/1Tlu
2021-12-19,Dreams,1990,https://boxd.it/1ROu
2021-12-26,Autumn Sonata,1978,https://boxd.it/1Rio
2021-12-28,Shiva Baby,2020,https://boxd.it/oIv0
2021-12-30,Antiporno,2016,https://boxd.it/eDjy
2021-12-30,Switchblade Sisters,1975,https://boxd.it/yuI
2022-01-04,Nightmare Alley,1947,https://boxd.it/1Fya
2022-01-04,Scenes from a Marriage,1973,https://boxd.it/rx6u
2022-01-05,Blood for Dracula,1974,https://boxd.it/1uNe
2022-01-12,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2022-01-12,Annette,2021,https://boxd.it/f0RS
2022-01-12,Chronicle,2012,https://boxd.it/2Emk
2022-01-12,In the Name of the Father,1993,https://boxd.it/20I6
2022-01-12,House,1977,https://boxd.it/1vsm
2022-01-14,Senso,1954,https://boxd.it/V6k
2022-01-17,Elevator to the Gallows,1958,https://boxd.it/294u
2022-01-17,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2022-01-19,The Descendants,2011,https://boxd.it/4Ba
2022-01-19,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk
2022-01-19,Alice,1988,https://boxd.it/1G3C
2022-01-19,Fantastic Planet,1973,https://boxd.it/1KnQ
2022-01-22,The Man Who Wasn't There,2001,https://boxd.it/1Vqc
2022-01-23,Only God Forgives,2013,https://boxd.it/2HBs
2022-01-23,Mommy,2014,https://boxd.it/7Uau
2022-01-26,Eighth Grade,2018,https://boxd.it/hDMG
2022-01-27,Clouds of Sils Maria,2014,https://boxd.it/7f62
2022-01-29,Night on Earth,1991,https://boxd.it/2ayq
